Amount,Category,Subcategory,Description,Method,Date
-60,Food,Snacks,"Tapri Chai",UPI,2026-01-26
-235,Transport,Commute,Rapido,UPI,2026-01-26
-57,Transport,Commute,"Metro Recharge",UPI,2026-01-26
-115,Transport,Commute,"Ola Auto",UPI,2026-01-25
-58,Food,Snacks,Bakery,UPI,2026-01-24
-34,Food,Snacks,Samosa,UPI,2026-01-24
-118,Transport,Commute,"Uber Ride",UPI,2026-01-24
-51,Transport,Commute,"Bus Ticket",UPI,2026-01-24
-1712,Shopping,Online,"Flipkart Sale",Card,2026-01-24
-250,Food,Delivery,"Swiggy Dinner",UPI,2026-01-23
-156,Transport,Commute,Rapido,UPI,2026-01-21
-223,Transport,Commute,"Ola Auto",UPI,2026-01-20
-239,Health,Medical,"Apollo Pharmacy",UPI,2026-01-19
-31,Food,Snacks,Bakery,UPI,2026-01-17
-63,Transport,Commute,"Metro Recharge",UPI,2026-01-17
-49,Food,Snacks,"Tapri Chai",UPI,2026-01-16
-54,Food,Snacks,Samosa,UPI,2026-01-15
-193,Food,Delivery,"Zomato Lunch",UPI,2026-01-14
-95,Transport,Commute,"Bus Ticket",UPI,2026-01-14
-42,Food,Snacks,"Tapri Chai",UPI,2026-01-13
-175,Transport,Commute,"Uber Ride",UPI,2026-01-13
-280,Health,Medical,"Practo Consult",UPI,2026-01-13
-52,Food,Snacks,"Tapri Chai",UPI,2026-01-12
-243,Transport,Commute,"Ola Auto",UPI,2026-01-12
-18000,Bills,Rent,"Flat Rent",UPI,2026-01-11
-1500,Bills,Utilities,"Electricity Bill",UPI,2026-01-11
-551,Health,Medical,"Practo Consult",UPI,2026-01-11
55000,Income,Salary,"TCS Salary Credit",UPI,2026-01-09
-10000,Others,Savings,"Zerodha SIP",UPI,2026-01-09
-2625,Food,Groceries,"Dmart Shopping",Card,2026-01-09
-1581,Shopping,Online,"Flipkart Sale",Card,2026-01-09
-800,Bills,Utilities,"Jio Fiber",UPI,2026-01-08
-59,Food,Snacks,"Tapri Chai",UPI,2026-01-08
-47,Food,Snacks,Bakery,UPI,2026-01-08
-33,Food,Snacks,"Tapri Chai",UPI,2026-01-08
-51,Food,Snacks,Samosa,UPI,2026-01-04
-199,Transport,Commute,"Uber Ride",UPI,2026-01-03
-54,Food,Snacks,"Tapri Chai",UPI,2026-01-02
-49,Food,Snacks,Samosa,UPI,2026-01-02
-58,Food,Snacks,"Tapri Chai",UPI,2026-01-01
-134,Transport,Commute,"Uber Ride",UPI,2025-12-31
-137,Transport,Commute,"Ola Auto",UPI,2025-12-31
-78,Transport,Commute,"Metro Recharge",UPI,2025-12-31
-51,Food,Snacks,Bakery,UPI,2025-12-30
-538,Entertainment,Media,"Amazon Prime",Card,2025-12-26
-174,Food,Delivery,"Foodpanda Snack",UPI,2025-12-25
-52,Food,Snacks,Bakery,UPI,2025-12-25
-1588,Shopping,Online,"Myntra Fashion",Card,2025-12-25
-242,Food,Delivery,"Zomato Lunch",UPI,2025-12-23
-33,Food,Snacks,Bakery,UPI,2025-12-23
-37,Food,Snacks,"Tapri Chai",UPI,2025-12-23
-47,Food,Snacks,Samosa,UPI,2025-12-23
-154,Food,Delivery,"Foodpanda Snack",UPI,2025-12-21
-228,Transport,Commute,"Ola Auto",UPI,2025-12-21
-75,Transport,Commute,"Metro Recharge",UPI,2025-12-21
-189,Transport,Commute,"Ola Auto",UPI,2025-12-20
-181,Transport,Commute,"Ola Auto",UPI,2025-12-20
-59,Food,Snacks,"Tapri Chai",UPI,2025-12-19
-2245,Food,Groceries,"Dmart Shopping",Card,2025-12-16
-299,Food,Delivery,"Swiggy Dinner",UPI,2025-12-14
55000,Income,Salary,"TCS Salary Credit",UPI,2025-12-12
-1500,Bills,Utilities,"Electricity Bill",UPI,2025-12-12
-50,Food,Snacks,Samosa,UPI,2025-12-12
-187,Transport,Commute,"Ola Auto",UPI,2025-12-12
-18000,Bills,Rent,"Flat Rent",UPI,2025-12-11
-800,Bills,Utilities,"Jio Fiber",UPI,2025-12-10
-2281,Shopping,Online,"Amazon Order",Card,2025-12-10
-555,Entertainment,Media,Netflix,Card,2025-12-10
-30,Food,Snacks,"Tapri Chai",UPI,2025-12-09
-453,Health,Medical,"Practo Consult",UPI,2025-12-09
-10000,Others,Savings,"Zerodha SIP",UPI,2025-12-08
-175,Food,Delivery,"Foodpanda Snack",UPI,2025-12-08
-30,Food,Snacks,Bakery,UPI,2025-12-08
-2438,Shopping,Online,"Flipkart Sale",Card,2025-12-08
-1729,Shopping,Online,"Flipkart Sale",Card,2025-12-08
-215,Transport,Commute,Rapido,UPI,2025-12-04
-214,Food,Delivery,"Foodpanda Snack",UPI,2025-12-03
-115,Transport,Commute,Rapido,UPI,2025-12-02
-198,Transport,Commute,Rapido,UPI,2025-12-02
-560,Entertainment,Media,Netflix,Card,2025-12-02
-50,Food,Snacks,Samosa,UPI,2025-11-30
-2235,Food,Groceries,"Dmart Shopping",Card,2025-11-30
-290,Food,Delivery,"Swiggy Dinner",UPI,2025-11-28
-283,Food,Delivery,"Swiggy Dinner",UPI,2025-11-28
-243,Food,Delivery,"Swiggy Dinner",UPI,2025-11-28
-42,Food,Snacks,Bakery,UPI,2025-11-28
-2734,Food,Groceries,BigBasket,Card,2025-11-28
-92,Transport,Commute,"Bus Ticket",UPI,2025-11-28
-238,Food,Delivery,"Zomato Lunch",UPI,2025-11-27
-52,Food,Snacks,"Tapri Chai",UPI,2025-11-27
-459,Entertainment,Media,"Amazon Prime",Card,2025-11-27
-159,Food,Delivery,"Swiggy Dinner",UPI,2025-11-26
-118,Transport,Commute,Rapido,UPI,2025-11-26
-1547,Food,Groceries,BigBasket,Card,2025-11-25
-41,Food,Snacks,Samosa,UPI,2025-11-24
-568,Entertainment,Media,"BookMyShow Movie",Card,2025-11-24
-544,Health,Medical,"Practo Consult",UPI,2025-11-24
-58,Food,Snacks,"Tapri Chai",UPI,2025-11-23
-43,Food,Snacks,"Tapri Chai",UPI,2025-11-22
-31,Food,Snacks,"Tapri Chai",UPI,2025-11-21
-76,Transport,Commute,"Metro Recharge",UPI,2025-11-20
-45,Food,Snacks,Bakery,UPI,2025-11-19
-102,Transport,Commute,Rapido,UPI,2025-11-19
-32,Food,Snacks,Samosa,UPI,2025-11-18
-224,Transport,Commute,Rapido,UPI,2025-11-18
-230,Transport,Commute,Rapido,UPI,2025-11-17
-1537,Shopping,Online,"Flipkart Sale",Card,2025-11-17
-47,Food,Snacks,Samosa,UPI,2025-11-16
55000,Income,Salary,"TCS Salary Credit",UPI,2025-11-12
-10000,Others,Savings,"Zerodha SIP",UPI,2025-11-12
-244,Food,Delivery,"Foodpanda Snack",UPI,2025-11-12
-175,Transport,Commute,"Uber Ride",UPI,2025-11-12
-57,Transport,Commute,"Bus Ticket",UPI,2025-11-12
-48,Food,Snacks,Bakery,UPI,2025-11-11
-18000,Bills,Rent,"Flat Rent",UPI,2025-11-10
-40,Food,Snacks,"Tapri Chai",UPI,2025-11-10
-2210,Shopping,Online,"Myntra Fashion",Card,2025-11-10
-800,Bills,Utilities,"Jio Fiber",UPI,2025-11-09
-41,Food,Snacks,Samosa,UPI,2025-11-09
-70,Transport,Commute,"Bus Ticket",UPI,2025-11-09
-1500,Bills,Utilities,"Electricity Bill",UPI,2025-11-08
-136,Transport,Commute,Rapido,UPI,2025-11-08
-253,Health,Medical,"Practo Consult",UPI,2025-11-08
-74,Transport,Commute,"Bus Ticket",UPI,2025-11-03
-74,Transport,Commute,"Bus Ticket",UPI,2025-11-03
-34,Food,Snacks,"Tapri Chai",UPI,2025-11-02
-97,Transport,Commute,"Metro Recharge",UPI,2025-11-01
-53,Transport,Commute,"Bus Ticket",UPI,2025-11-01
-40,Food,Snacks,"Tapri Chai",UPI,2025-10-31
-38,Food,Snacks,Samosa,UPI,2025-10-31
-193,Food,Delivery,"Foodpanda Snack",UPI,2025-10-30
-32,Food,Snacks,"Tapri Chai",UPI,2025-10-30
-148,Transport,Commute,"Uber Ride",UPI,2025-10-30
-35,Food,Snacks,Samosa,UPI,2025-10-29
-2036,Food,Groceries,"Dmart Shopping",Card,2025-10-29
-101,Transport,Commute,"Ola Auto",UPI,2025-10-29
-47,Food,Snacks,Samosa,UPI,2025-10-28
-510,Health,Medical,"Practo Consult",UPI,2025-10-25
-34,Food,Snacks,"Tapri Chai",UPI,2025-10-24
-57,Food,Snacks,Bakery,UPI,2025-10-24
-31,Food,Snacks,"Tapri Chai",UPI,2025-10-24
-60,Transport,Commute,"Metro Recharge",UPI,2025-10-22
-1740,Food,Groceries,"Dmart Shopping",Card,2025-10-21
-34,Food,Snacks,"Tapri Chai",UPI,2025-10-20
-45,Food,Snacks,Samosa,UPI,2025-10-20
-2092,Food,Groceries,BigBasket,Card,2025-10-20
-55,Food,Snacks,Samosa,UPI,2025-10-19
-159,Transport,Commute,Rapido,UPI,2025-10-19
-210,Transport,Commute,"Ola Auto",UPI,2025-10-19
-488,Entertainment,Media,"Amazon Prime",Card,2025-10-19
-126,Transport,Commute,"Ola Auto",UPI,2025-10-18
-1892,Shopping,Online,"Myntra Fashion",Card,2025-10-17
-41,Food,Snacks,Bakery,UPI,2025-10-16
-168,Transport,Commute,"Uber Ride",UPI,2025-10-16
-43,Food,Snacks,Samosa,UPI,2025-10-14
-31,Food,Snacks,Samosa,UPI,2025-10-13
-127,Transport,Commute,Rapido,UPI,2025-10-13
-18000,Bills,Rent,"Flat Rent",UPI,2025-10-12
-1500,Bills,Utilities,"Electricity Bill",UPI,2025-10-12
-800,Bills,Utilities,"Jio Fiber",UPI,2025-10-12
-168,Food,Delivery,"Foodpanda Snack",UPI,2025-10-12
-33,Food,Snacks,"Tapri Chai",UPI,2025-10-11
55000,Income,Salary,"TCS Salary Credit",UPI,2025-10-10
-150,Food,Delivery,"Swiggy Dinner",UPI,2025-10-10
-216,Health,Medical,"Apollo Pharmacy",UPI,2025-10-10
-10000,Others,Savings,"Zerodha SIP",UPI,2025-10-09
-78,Transport,Commute,"Bus Ticket",UPI,2025-10-09
-218,Food,Delivery,"Zomato Lunch",UPI,2025-10-08
-33,Food,Snacks,Samosa,UPI,2025-10-08
